23,15,15,0,0,0,0,0,279,1305,4.68,13,87,64,788,12.31,6,5,2,19,0,0
25,15,15,0,0,0,0,0,321,1291,4.02,9,106,85,655,7.71,2,3,2,11,0,0
22,16,16,0,0,0,0,0,272,1327,4.88,8,63,53,455,8.58,3,1,1,11,0,0
22,16,3,0,0,0,0,0,120,728,6.07,8,100,81,826,10.2,5,1,1,14,1,0
24,16,16,0,0,0,0,0,284,1105,3.89,8,83,58,476,8.21,4,1,0,12,0,0
25,15,15,0,0,0,0,0,0,0,0.0,0,174,96,1378,14.35,13,1,1,13,0,0
29,14,14,0,0,0,0,0,0,0,0.0,0,163,101,1533,15.18,9,4,0,9,1,0
28,16,13,0,0,0,0,0,230,1124,4.89,12,71,58,416,7.17,0,3,3,12,0,0
29,16,16,339,553,3983,34,11,95,586,6.17,3,0,0,0,0.0,0,14,3,3,0,2
29,16,16,0,0,0,0,0,287,1138,3.97,6,77,59,448,7.59,2,3,1,8,0,0
28,14,14,0,0,0,0,0,0,0,0.0,0,105,69,1084,15.71,8,1,0,8,1,0
28,15,15,0,1,0,0,1,2,7,3.5,0,122,83,1038,12.51,8,0,0,8,0,0
22,13,13,0,0,0,0,0,268,1040,3.88,9,48,36,302,8.39,1,2,0,10,0,0
25,16,15,0,0,0,0,0,2,9,4.5,0,159,102,1393,13.66,6,1,0,7,0,0
23,15,13,0,1,0,0,1,17,59,3.47,0,105,75,1183,15.77,7,2,0,8,0,0
27,16,16,0,0,0,0,0,0,0,0.0,0,107,61,1101,18.05,9,0,0,9,0,0
28,16,16,0,0,0,0,0,1,15,15.0,0,148,88,1444,16.41,3,0,0,3,0,0
22,10,10,0,0,0,0,0,242,983,4.06,7,38,26,269,10.35,2,1,1,9,0,0
23,16,16,0,0,0,0,0,276,1122,4.07,9,32,23,125,5.43,0,1,1,9,0,0
27,16,16,0,0,0,0,0,240,938,3.91,8,88,59,350,5.93,0,2,1,8,0,0
27,14,13,0,0,0,0,0,0,0,0.0,0,110,74,824,11.14,8,1,1,8,0,0
24,16,15,0,0,0,0,0,9,40,4.44,0,114,65,1082,16.65,7,0,0,7,1,0
28,16,16,291,492,3302,22,16,139,754,5.42,6,0,0,0,0.0,0,9,1,6,1,0
27,16,8,0,0,0,0,0,180,896,4.98,6,35,32,214,6.69,3,0,0,10,0,0
24,16,14,0,0,0,0,0,0,0,0.0,0,149,104,1245,11.97,5,0,0,5,0,0
34,16,16,1,1,21,0,0,0,0,0.0,0,161,109,1156,10.61,6,1,1,6,1,0
29,16,16,0,0,0,0,0,0,0,0.0,0,143,75,1078,14.37,8,2,2,8,0,0
40,16,16,385,581,4577,32,8,25,28,1.12,0,0,0,0,0.0,0,7,3,0,0,2
33,15,15,341,505,4042,26,5,60,355,5.92,1,0,0,0,0.0,0,2,1,1,0,0
27,16,16,0,0,0,0,0,1,11,11.0,0,142,91,1276,14.02,4,3,2,4,0,0
25,14,14,0,0,0,0,0,0,0,0.0,0,117,74,885,11.96,10,0,0,10,0,0
29,16,16,0,0,0,0,0,2,-8,-4.0,0,116,75,991,13.21,8,0,0,8,1,0
25,14,14,0,0,0,0,0,196,865,4.41,7,47,36,317,8.81,1,4,1,8,0,0
25,16,16,0,1,0,0,0,1,-7,-7.0,0,161,112,987,8.81,9,4,2,9,0,0
31,16,13,0,0,0,0,0,0,0,0.0,0,96,57,520,9.12,10,0,0,10,1,0
26,16,13,0,0,0,0,0,238,888,3.73,3,45,36,327,9.08,3,1,0,6,0,0
21,14,7,0,0,0,0,0,0,0,0.0,0,79,58,917,15.81,7,0,0,8,0,0
27,16,16,0,0,0,0,0,0,0,0.0,0,120,57,789,13.84,9,0,0,9,3,0
23,15,11,0,0,0,0,0,1,14,14.0,0,115,64,722,11.28,6,0,0,6,0,0
25,13,13,265,440,3296,33,7,64,299,4.67,0,0,0,0,0.0,0,9,3,0,0,4
24,16,15,0,0,0,0,0,3,9,3.0,0,114,63,941,14.94,7,0,0,7,0,0
24,14,14,0,0,0,0,0,8,13,1.63,0,95,64,849,13.27,8,0,0,8,0,0
29,16,16,347,540,4093,27,13,49,179,3.65,4,0,0,0,0.0,0,13,5,4,0,0
21,16,10,0,0,0,0,0,117,435,3.72,2,113,80,651,8.14,5,2,1,7,0,0
29,16,12,0,0,0,0,0,5,22,4.4,0,120,92,1003,10.9,5,1,1,5,0,1
24,15,15,0,0,0,0,0,0,0,0.0,0,136,71,1001,14.1,5,1,0,5,1,0
23,16,16,0,0,0,0,0,0,0,0.0,0,111,63,840,13.33,8,0,0,8,0,0
23,15,12,0,0,0,0,0,212,973,4.59,6,36,23,187,8.13,0,4,2,6,0,0
26,16,16,0,0,0,0,0,245,1007,4.11,3,40,28,224,8.0,1,1,1,4,1,0
28,16,16,0,0,0,0,0,0,0,0.0,0,81,57,532,9.33,8,0,0,8,0,0
33,16,11,0,0,0,0,0,2,-2,-1.0,1,111,74,807,10.91,3,2,2,4,0,0
29,16,16,371,565,4446,29,10,29,98,3.38,0,0,0,0,0.0,0,11,7,0,1,1
34,16,16,0,0,0,0,0,261,961,3.68,3,38,29,245,8.45,1,3,0,4,0,0
31,15,15,0,0,0,0,0,207,891,4.3,7,31,20,151,7.55,0,1,1,7,0,0
27,16,11,0,0,0,0,0,216,842,3.9,8,17,15,103,6.87,0,1,0,8,0,0
36,16,16,360,575,4515,28,10,18,-2,-0.11,0,0,0,0,0.0,0,8,1,0,0,0
24,16,0,0,0,0,0,0,82,348,4.24,4,93,74,693,9.36,3,4,2,7,0,0
