Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Rashad Fenton\FentRa00,CB,South Carolina,College Stats,5-11,193,4.52,34.0,12,117,,4.25,/ 6th / 201st pick / 2019
Jazz Ferguson\FergJa01,WR,Northwestern St. (LA),College Stats,6-5,227,4.45,37.0,8,123,7.25,4.59,
Clelin Ferrell\FerrCl00,EDGE,Clemson,College Stats,6-4,264,,,25,,7.26,4.40,/ 1st / 4th pick / 2019
Mark Fields\FielMa00,CB,Clemson,College Stats,5-10,192,4.37,,18,,,,
Ryan Finley\FinlRy00,QB,North Carolina St.,College Stats,6-4,213,4.73,30.5,,116,7.20,4.20,/ 4th / 104th pick / 2019
Nick Fitzgerald\FitzNi00,QB,Mississippi St.,College Stats,6-5,226,4.64,29.5,,115,,,
Cody Ford\FordCo00,OT,Oklahoma,College Stats,6-4,329,5.21,28.5,19,104,8.27,4.87,/ 2nd / 38th pick / 2019
Jack Fox\FoxxJa00,P,Rice,College Stats,6-2,213,4.73,27.5,,114,,,
Hjalte Froholdt\FrohHj00,OL,Arkansas,College Stats,6-5,306,5.20,27.5,31,105,7.51,4.54,/ 4th / 118th pick / 2019
Travis Fulgham\FulgTr00,WR,Old Dominion,College Stats,6-2,215,4.58,36.5,15,126,,,/ 6th / 184th pick / 2019
Lamont Gaillard\GailLa00,OL,Georgia,College Stats,6-3,305,,,,,,,/ 6th / 179th pick / 2019
Greg Gaines\GainGr00,DL,Washington,College Stats,6-1,312,5.16,31.0,30,109,,,/ 4th / 134th pick / 2019
Malik Gant\GantMa00,S,Marshall,College Stats,6-0,209,4.63,34.5,17,114,7.45,4.30,
Chauncey Gardner-Johnson,S,Florida,College Stats,5-11,210,4.48,36.0,17,117,7.03,4.20,
Rashan Gary\GaryRa00,DL,Michigan,College Stats,6-4,277,4.58,38.0,26,120,7.26,4.29,/ 1st / 12th pick / 2019
Myles Gaskin\GaskMy00,RB,Washington,College Stats,5-9,205,4.58,35.5,24,118,7.19,4.27,/ 7th / 234th pick / 2019
Matt Gay\GayxMa00,K,Utah,College Stats,6-0,232,,,,,,,/ 5th / 145th pick / 2019
Zach Gentry\GentZa00,TE,Michigan,College Stats,6-8,265,4.90,29.5,12,110,7.40,4.53,/ 5th / 141st pick / 2019
Joe Giles-Harris\GileJo00,LB,Duke,College Stats,6-2,234,4.75,29.5,17,111,,,
Andrew Van ginkel\VanGAn00,LB,Wisconsin,College Stats,6-3,241,,38.0,17,123,6.89,4.14,/ 5th / 151st pick / 2019
Kevin Givens\GiveKe00,DL,Penn St.,College Stats,6-1,285,5.08,31.0,32,115,7.63,4.62,
Dan Godsil\GodsDa00,LS,Indiana,College Stats,6-4,241,5.00,34.5,16,118,7.56,4.55,
Terry Godwin\GodwTe00,WR,Georgia,College Stats,5-11,184,4.55,36.5,,117,6.96,,/ 7th / 237th pick / 2019
Carl Granderson\GranCa00,EDGE,Wyoming,College Stats,6-5,254,4.79,35.0,,119,7.44,4.41,
Derwin Gray\GrayDe01,OT,Maryland,College Stats,6-4,320,5.26,,26,90,,,/ 7th / 219th pick / 2019
Gerri Green\GreeGe00,EDGE,Mississippi St.,College Stats,6-4,252,4.63,35.0,24,114,7.27,4.42,/ 6th / 199th pick / 2019
Donnell Greene\GreeDo01,OT,Minnesota,College Stats,6-5,335,,,,,,,
Ethan Greenidge,OL,Villanova,,6-4,327,,,,,,,
Dre Greenlaw\GreeDr00,LB,Arkansas,College Stats,5-11,237,,33.0,24,117,,,/ 5th / 148th pick / 2019
Will Grier\GrieWi00,QB,West Virginia,College Stats,6-2,217,4.84,34.0,,112,7.09,4.28,/ 3rd / 100th pick / 2019
Porter Gustin\GustPo00,EDGE,USC,College Stats,6-4,255,4.69,35.5,31,119,,,
Emanuel Hall\HallEm00,WR,Missouri,College Stats,6-2,201,4.39,43.5,15,141,,,
Nate Hall\HallNa00,LB,Northwestern,College Stats,6-2,225,,,,,,,
Terez Hall\HallTe00,LB,Missouri,College Stats,6-1,230,,,20,,,,
Saquan Hampton\HampSa00,S,Rutgers,College Stats,6-1,206,4.48,,14,125,,,/ 6th / 177th pick / 2019
Terrill Hanks\HankTe00,LB,New Mexico St.,College Stats,6-2,242,4.98,35.5,21,118,,,
Chase Hansen\HansCh01,LB,Utah,College Stats,6-3,222,,,,,,,
Mecole Hardman\HardMe00,WR,Georgia,College Stats,5-10,187,4.33,36.5,17,119,,,/ 2nd / 56th pick / 2019
Kelvin Harmon\HarmKe00,WR,North Carolina St.,College Stats,6-2,221,4.60,32.5,18,117,7.15,4.32,/ 6th / 206th pick / 2019
Damien Harris\HarrDa06,RB,Alabama,College Stats,5-10,216,4.57,37.0,16,121,,,/ 3rd / 87th pick / 2019
Will Harris\HarrWi02,S,Boston Col.,College Stats,6-1,207,4.41,36.5,20,123,6.91,4.12,/ 3rd / 81st pick / 2019
N'Keal Harry\HarrNK00,WR,Arizona State,College Stats,6-2,228,4.53,38.5,27,122,,,/ 1st / 32nd pick / 2019
Montre Hartage\HartMo00,CB,Northwestern,College Stats,5-11,190,4.68,34.5,9,123,6.95,4.08,
Dwayne Haskins\HaskDw00,QB,Ohio St.,College Stats,6-3,231,5.04,28.5,,,,,/ 1st / 15th pick / 2019
Phil Haynes\HaynPh00,OL,Wake Forest,College Stats,6-4,322,5.20,31.0,33,108,7.76,4.95,/ 4th / 124th pick / 2019
Daniel Helm\HelmDa00,TE,Duke,College Stats,6-4,249,4.89,,14,,,,
Darrell Henderson\HendDa00,RB,Memphis,College Stats,5-8,208,4.49,33.5,22,121,,,/ 3rd / 70th pick / 2019
Nate Herbig\HerbNa00,OL,Stanford,College Stats,6-3,335,5.41,24.0,29,90,8.15,5.04,
Karan Higdon\HigdKa00,RB,Michigan,College Stats,5-9,206,4.49,34.0,21,123,,,
Justice Hill\HillJu00,RB,Oklahoma St.,College Stats,5-10,198,4.40,40.0,21,130,,,/ 4th / 113th pick / 2019
Trysten Hill\HillTr00,DL,Central Florida,College Stats,6-3,308,5.04,35.0,28,115,7.70,4.38,/ 2nd / 58th pick / 2019
