Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Isaiah Prince\PrinIs00,OT,Ohio St.,College Stats,6-6,305,5.09,27.0,23,115,7.90,5.02,/ 6th / 202nd pick / 2019
Ryan Pulley\PullRy00,CB,Arkansas,College Stats,5-11,209,4.61,31.0,11,111,,,
Taylor Rapp\RappTa00,S,Washington,College Stats,6-0,208,,35.0,17,115,6.82,3.99,/ 2nd / 61st pick / 2019
Wyatt Ray\RayxWy00,EDGE,Boston Col.,College Stats,6-3,257,4.83,34.0,25,118,7.34,4.31,
Dax Raymond\RaymDa00,TE,Utah St.,College Stats,6-5,255,4.73,32.0,15,109,7.15,4.39,
Sheldrick Redwine\RedwSh00,S,Miami (FL),College Stats,6-0,196,4.44,39.0,,130,,4.14,/ 4th / 119th pick / 2019
Hunter Renfrow\RenfHu00,WR,Clemson,College Stats,5-10,184,4.59,35.0,7,116,6.80,4.19,/ 5th / 149th pick / 2019
Riley Ridley\RidlRi00,WR,Georgia,College Stats,6-1,199,4.58,30.5,13,124,7.22,4.28,/ 4th / 126th pick / 2019
Dalton Risner\RisnDa00,OT,Kansas St.,College Stats,6-5,312,5.30,28.5,23,110,7.69,4.52,/ 2nd / 41st pick / 2019
Tyler Roemer\RoemTy00,OT,San Diego St.,College Stats,6-6,312,5.21,30.5,18,108,7.75,4.76,
Dontavius Russell\RussDo00,DL,Auburn,College Stats,6-3,319,5.15,,24,,7.81,4.77,/ 7th / 235th pick / 2019
Brett Rypien\RypiBr00,QB,Boise St.,College Stats,6-2,210,4.91,33.0,,116,7.10,4.29,
Dru Samia\SamiDr00,OT,Oklahoma,College Stats,6-5,305,5.29,27.5,28,101,7.89,4.70,/ 4th / 114th pick / 2019
Drew Sample\SampDr00,TE,Washington,College Stats,6-5,255,4.71,33.5,,115,7.15,4.31,/ 2nd / 52nd pick / 2019
Deebo Samuel\SamuDe00,WR,South Carolina,College Stats,5-11,214,4.48,39.0,15,122,7.03,4.14,/ 2nd / 36th pick / 2019
Miles Sanders\SandMi01,RB,Penn St.,College Stats,5-11,211,4.49,36.0,20,124,6.89,4.19,/ 2nd / 53rd pick / 2019
Khalen Saunders,DL,Western Illinois,,6-0,324,5.01,30.5,27,101,7.57,4.62,
Darnell Savage\SavaDa00,S,Maryland,College Stats,5-11,198,4.36,39.5,11,126,7.03,4.14,/ 1st / 21st pick / 2019
Jordan Scarlett\ScarJo00,RB,Florida,College Stats,5-11,208,4.47,30.0,21,116,7.37,4.63,/ 5th / 154th pick / 2019
Max Scharping,OT,Northern Illinois,College Stats,6-6,327,,28.0,27,108,7.77,4.69,
Lj Scott\ScotLJ00,RB,Michigan St.,College Stats,6-0,227,,33.0,21,120,7.27,4.34,
Austin Seibert\SeibAu00,K,Oklahoma,College Stats,5-9,213,,,,,,,/ 5th / 170th pick / 2019
Kendall Sheffield\ShefKe00,CB,Ohio St.,College Stats,5-11,193,,,,,,,/ 4th / 111th pick / 2019
Kyle Shurmur\ShurKy00,QB,Vanderbilt,College Stats,6-4,230,4.91,29.5,,106,7.51,4.53,
David Sills\SillDa00,WR,West Virginia,College Stats,6-3,211,4.57,37.5,14,117,6.97,4.28,
Devin Singletary\SingDe00,RB,Florida Atlantic,College Stats,5-7,203,4.66,35.0,15,117,7.32,4.40,/ 3rd / 74th pick / 2019
Chris Slayton\SlayCh00,DL,Syracuse,College Stats,6-4,307,5.13,29.0,28,101,,4.73,/ 7th / 245th pick / 2019
Darius Slayton\SlayDa01,WR,Auburn,College Stats,6-1,190,4.39,40.5,11,135,7.00,4.15,/ 5th / 171st pick / 2019
Cameron Smith\SmitCa01,LB,USC,College Stats,6-2,238,4.69,39.0,15,123,,4.23,/ 5th / 162nd pick / 2019
Irv Smith\SmitIr01,TE,Alabama,College Stats,6-2,242,4.63,32.5,19,110,7.32,4.33,/ 2nd / 50th pick / 2019
Jaylen Smith\SmitJa06,WR,Louisville,College Stats,6-2,219,4.47,34.5,14,122,7.55,4.48,
Kaden Smith\SmitKa00,TE,Stanford,College Stats,6-5,255,4.92,32.0,15,108,7.08,4.47,/ 6th / 176th pick / 2019
Saivion Smith\SmitSa01,CB,Alabama,College Stats,6-1,199,,33.0,11,121,7.09,4.37,
Sutton Smith,EDGE,Northern Illinois,College Stats,6-0,233,4.69,31.5,25,118,6.75,4.32,
Benny Snell,RB,Kentucky,College Stats,5-10,224,4.66,29.5,16,119,7.07,4.33,
Jace Sternberger\SterJa00,TE,Texas A&M,College Stats,6-4,251,4.75,31.5,17,113,7.19,4.31,/ 3rd / 75th pick / 2019
Easton Stick,QB,North Dakota St.,,6-1,224,4.62,33.5,,118,6.65,4.05,
Jarrett Stidham\StidJa00,QB,Auburn,College Stats,6-2,218,4.81,31.0,,110,7.28,4.33,/ 4th / 133rd pick / 2019
Ty Summers\SummTy00,LB,TCU,College Stats,6-1,241,4.51,36.0,27,123,,,/ 7th / 226th pick / 2019
Montez Sweat\SweaMo00,EDGE,Mississippi St.,College Stats,6-6,260,4.41,36.0,21,125,7.00,4.29,/ 1st / 26th pick / 2019
Tommy Sweeney\SweeTo00,TE,Boston Col.,College Stats,6-4,251,4.83,,17,,,,/ 7th / 228th pick / 2019
William Sweet\SweeWi00,OT,North Carolina,College Stats,6-6,313,5.27,30.5,23,111,8.01,5.00,
Jordan Ta'amu\TaamJo00,QB,Mississippi,College Stats,6-3,221,4.77,27.5,,109,7.06,4.36,
Sione Takitaki\TakiSi00,LB,BYU,College Stats,6-1,238,4.63,37.0,24,125,7.21,4.28,/ 3rd / 80th pick / 2019
Trevon Tate\TateTr00,OL,Memphis,College Stats,6-2,293,,,22,,,,
Jahlani Tavai\TavaJa00,LB,Hawaii,College Stats,6-2,250,,,,,,,/ 2nd / 43rd pick / 2019
Jawaan Taylor\TaylJa02,OT,Florida,College Stats,6-5,312,,,24,,,,/ 2nd / 35th pick / 2019
Marvell Tell\TellMa00,S,USC,College Stats,6-2,198,,42.0,,136,6.63,4.01,/ 5th / 144th pick / 2019
Derrek Thomas,CB,Baylor,College Stats,6-3,189,4.44,39.5,8,131,,,
Cody Thompson\ThomCo03,WR,Toledo,College Stats,6-1,205,4.57,38.5,19,119,6.87,4.03,
Deionte Thompson\ThomDe06,S,Alabama,College Stats,6-1,195,,,,,,,/ 5th / 139th pick / 2019
Juan Thornhill\ThorJu00,S,Virginia,College Stats,6-0,205,4.42,44.0,21,141,,,/ 2nd / 63rd pick / 2019
Clayton Thorson\ThorCl00,QB,Northwestern,College Stats,6-4,222,,,,,,,/ 5th / 167th pick / 2019
Jerry Tillery\TillJe00,DL,Notre Dame,College Stats,6-6,295,4.93,32.0,23,115,7.45,4.33,/ 1st / 28th pick / 2019
Cole Tracy\TracCo00,K,LSU,College Stats,5-10,184,,,,,,,
Drue Tranquill\TranDr00,LB,Notre Dame,College Stats,6-2,234,4.57,37.5,31,122,6.94,4.14,/ 4th / 130th pick / 2019
Oli Udoh,OT,Elon,,6-5,323,5.05,28.5,26,105,7.88,5.05,
D'Andre Walker\WalkDA02,EDGE,Georgia,College Stats,6-2,251,,,,,,,/ 5th / 168th pick / 2019
Kahale Warring\WarrKa00,TE,San Diego St.,College Stats,6-5,252,4.67,36.5,19,122,7.21,4.25,/ 3rd / 86th pick / 2019
Armon Watts\WattAr01,DL,Arkansas,College Stats,6-5,300,5.23,,,,,,/ 6th / 190th pick / 2019
Jamarius Way\WayxJa00,WR,South Alabama,College Stats,6-3,215,4.63,32.5,16,119,,4.66,
Mike Weber\WebeMi00,RB,Ohio St.,College Stats,5-10,211,4.47,33.5,22,,,,/ 7th / 218th pick / 2019
Ken Webster\WebsKe00,CB,Mississippi,College Stats,5-11,203,4.43,43.0,18,133,6.85,4.14,/ 7th / 252nd pick / 2019
Trevon Wesco\WescTr00,TE,West Virginia,College Stats,6-3,267,4.89,31.0,24,117,7.18,4.38,/ 4th / 121st pick / 2019
Alex Wesley,WR,Northern Colorado,,6-0,190,4.45,38.5,13,125,7.40,4.44,
Antoine Wesley\WeslAn00,WR,Texas Tech,College Stats,6-4,206,,37.0,6,117,7.07,4.26,
Darius West\WestDa00,S,Kentucky,College Stats,5-11,208,4.39,33.5,19,113,,,
Devin White\WhitDe02,LB,LSU,College Stats,6-0,237,4.42,39.5,22,118,7.07,4.17,/ 1st / 5th pick / 2019
Christian Wilkins\WilkCh00,DL,Clemson,College Stats,6-3,315,5.04,29.5,28,107,,4.55,/ 1st / 13th pick / 2019
Dexter Williams\WillDe07,RB,Notre Dame,College Stats,5-11,212,4.57,36.0,17,130,7.00,4.16,/ 6th / 194th pick / 2019
Greedy Williams\WillGr00,CB,LSU,College Stats,6-2,185,4.37,,,,,,/ 2nd / 46th pick / 2019
James Williams\WillJa08,RB,Washington St.,College Stats,5-9,197,4.58,36.5,,118,7.01,4.25,
Joejuan Williams\WillJo11,CB,Vanderbilt,College Stats,6-4,211,4.64,,17,,,,
Jonah Williams\WillJo10,OT,Alabama,College Stats,6-4,302,5.12,28.0,23,100,8.01,4.79,/ 1st / 11th pick / 2019
Quinnen Williams\WillQu00,DL,Alabama,College Stats,6-3,303,4.83,30.5,,112,,,/ 1st / 3rd pick / 2019
Trayveon Williams\WillTr06,RB,Texas A&M,College Stats,5-8,206,4.51,33.0,19,121,7.44,4.44,/ 6th / 182nd pick / 2019
Gerald Willis\WillGe01,DL,Miami (FL),College Stats,6-2,302,,,,,,,
Khari Willis\WillKh00,S,Michigan St.,College Stats,5-11,213,4.52,34.5,22,118,,,/ 4th / 109th pick / 2019
Caleb Wilson\WilsCa00,TE,UCLA,College Stats,6-4,240,4.56,29.0,,113,7.20,4.40,/ 7th / 254th pick / 2019
Donovan Wilson\WilsDo01,S,Texas A&M,College Stats,6-0,199,,36.0,18,127,,,/ 6th / 213th pick / 2019
Mack Wilson\WilsMa03,LB,Alabama,College Stats,6-1,240,,32.0,,117,,,/ 5th / 155th pick / 2019
Andrew Wingard\WingAn00,S,Wyoming,College Stats,6-0,209,4.56,36.5,9,121,7.08,4.20,
Chase Winovich\WinoCh00,EDGE,Michigan,College Stats,6-3,256,4.59,30.5,18,116,6.94,4.11,/ 3rd / 77th pick / 2019
Daniel Wise\WiseDa00,DL,Kansas,College Stats,6-3,281,5.28,27.5,22,112,7.53,4.37,
Mitch Wishnowsky\WishMi00,P,Utah,College Stats,6-2,218,4.63,32.5,,117,,,/ 4th / 110th pick / 2019
Zedrick Woods\WoodZe00,S,Mississippi,College Stats,5-11,205,4.29,34.5,19,122,7.00,4.15,
Evan Worthington\WortEv00,S,Colorado,College Stats,6-2,212,4.63,33.5,17,121,7.07,4.37,
Renell Wren\WrenRe00,DL,Arizona St.,College Stats,6-5,318,5.01,32.0,30,118,7.65,4.53,/ 4th / 125th pick / 2019
Oshane Ximines\XimiOs00,EDGE,Old Dominion,College Stats,6-3,253,4.78,34.0,24,118,7.13,4.57,/ 3rd / 95th pick / 2019
Rock Ya-Sin\Ya-SRo00,CB,Temple,College Stats,6-0,192,4.51,39.5,18,120,7.31,4.31,/ 2nd / 34th pick / 2019
